City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,ola,59.5833,151.2833,-2.7,88,99,6.38,RU,2024-04-08
78,chui,-33.6971,-53.4616,23.89,70,22,4.76,UY,2024-04-08
79,shingu,33.7333,135.9833,16.9,99,100,0.03,JP,2024-04-08
80,ondangwa,-17.9167,15.95,29.08,35,95,1.59,NA,2024-04-08
81,saynshand,44.8824,110.1163,9.77,58,100,3.52,MN,2024-04-08
82,san luis de la loma,17.2706,-100.8939,30.19,46,2,3.7,MX,2024-04-08
83,badger,64.8,-147.5333,-2.15,88,75,2.06,US,2024-04-08
84,camacupa,-12.0167,17.4833,18.06,93,84,0.87,AO,2024-04-08
85,staryye ozinki,51.1786,49.6769,12.62,68,100,3.68,RU,2024-04-08
86,port elizabeth,-33.918,25.5701,19.62,86,34,0.89,ZA,2024-04-08
87,inari,68.906,27.0288,-0.89,98,100,1.75,FI,2024-04-08
88,christchurch,-43.5333,172.6333,10.53,93,100,1.03,NZ,2024-04-08
89,sanghar,26.0466,68.9481,32.47,15,17,6.48,PK,2024-04-08
90,sisimiut,66.9395,-53.6735,-4.09,70,76,2.33,GL,2024-04-08
91,suwayr,30.1171,40.3893,24.52,13,0,0.86,SA,2024-04-08
92,punta arenas,-53.15,-70.9167,5.06,65,40,10.8,CL,2024-04-08
93,vadso,70.0744,29.7487,-2.51,93,75,6.69,NO,2024-04-08
94,kresttsy,58.2452,32.5165,10.11,82,100,1.81,RU,2024-04-08
95,srandakan,-7.9386,110.2506,26.09,86,100,0.95,ID,2024-04-08
96,yellowknife,62.456,-114.3525,0.31,90,100,4.47,CA,2024-04-08
97,port isabel,26.0734,-97.2086,29.04,76,0,7.72,US,2024-04-08
98,ribeira grande,38.5167,-28.7,17.22,94,75,4.47,PT,2024-04-08
99,kayangel,8.0823,134.7173,28.17,75,76,6.75,PW,2024-04-08
100,bangkalan,-7.0455,112.7351,27.97,84,83,2.42,ID,2024-04-08
101,tura,25.5198,90.2201,23.46,34,79,1.15,IN,2024-04-08
102,stanley,54.868,-1.6985,13.77,81,40,2.06,GB,2024-04-08
103,almeirim,-1.5233,-52.5817,30.86,58,88,1.9,BR,2024-04-08
104,natal,-5.795,-35.2094,30.36,70,40,5.14,BR,2024-04-08
105,velyka bahachka,49.7912,33.7226,16.19,56,81,2.63,UA,2024-04-08
106,agat village,13.3886,144.6585,27.52,83,40,4.12,GU,2024-04-08
107,canandaigua,42.8742,-77.288,15.78,38,100,1.34,US,2024-04-08
108,khandyga,62.6667,135.6,-10.7,97,100,1.52,RU,2024-04-08
109,newman,37.3138,-121.0208,15.58,52,5,8.05,US,2024-04-08
110,holualoa,19.6228,-155.9522,20.91,85,75,2.57,US,2024-04-08
111,iqaluit,63.7506,-68.5145,-14.61,65,7,8.49,CA,2024-04-08
112,cafayate,-26.073,-65.9761,24.88,54,1,3.02,AR,2024-04-08
113,college,64.8569,-147.8028,-2.11,78,75,2.06,US,2024-04-08
114,margaret river,-33.95,115.0667,13.09,71,0,5.57,AU,2024-04-08
115,lorengau,-2.0226,147.2712,27.45,83,100,3.62,PG,2024-04-08
116,tazacorte,28.629,-17.9293,21.19,78,20,8.75,ES,2024-04-08
117,zelenogradsk,54.9589,20.4767,18.03,77,0,3.0,RU,2024-04-08
118,eydhafushi,5.1033,73.0708,29.4,70,93,0.9,MV,2024-04-08
119,neelankarai,12.9455,80.2575,30.04,76,20,4.63,IN,2024-04-08
120,bereket,39.2446,55.5154,21.74,38,100,0.98,TM,2024-04-08
121,nenjiang,49.1833,125.2167,-2.13,37,13,2.25,CN,2024-04-08
122,west island,-12.1568,96.8225,27.99,78,40,4.12,CC,2024-04-08
123,boa vista,2.8197,-60.6733,32.99,43,40,5.14,BR,2024-04-08
124,general conesa,-40.1,-64.4333,27.27,28,100,6.34,AR,2024-04-08
125,chinde,26.8418,88.0763,18.68,24,19,2.93,NP,2024-04-08
126,daru,-9.0763,143.2092,27.06,86,99,1.89,PG,2024-04-08
127,prado,-17.3411,-39.2208,28.88,59,62,3.28,BR,2024-04-08
128,akureyri,65.6835,-18.0878,-0.87,93,100,5.92,IS,2024-04-08
129,touros,-5.1989,-35.4608,28.5,77,100,5.38,BR,2024-04-08
130,olonkinbyen,70.9221,-8.7187,-3.28,70,100,8.75,SJ,2024-04-08
131,luganville,-15.5333,167.1667,25.33,85,100,1.37,VU,2024-04-08
132,callao,-12.0667,-77.15,26.16,69,0,3.6,PE,2024-04-08
133,bamboo flat,11.7,92.7167,28.05,83,20,0.0,IN,2024-04-08
134,alofi,-19.0595,-169.9187,24.94,94,75,5.14,NU,2024-04-08
135,san pedro pochutla,15.7333,-96.4667,33.84,41,19,3.62,MX,2024-04-08
136,carutapera,-1.195,-46.02,27.64,89,69,2.76,BR,2024-04-08
137,nhamunda,-2.1861,-56.7131,30.79,64,86,1.78,BR,2024-04-08
138,pyt-yakh,60.7499,72.8582,-2.97,99,100,1.72,RU,2024-04-08
139,uturoa,-16.7333,-151.4333,29.02,77,99,5.38,PF,2024-04-08
140,keelung,25.1283,121.7419,18.3,88,100,5.0,TW,2024-04-08
